N,P,K,Temperature,Humidity,pH,Rainfall,Crop
101.31048665525256,15.9349469958142,59.67614946556023,30.22370076418543,89.16212815868354,6.740819209261913,136.54620274136596,Sugarcane
25.57,74.94,53.68,20.31,89.05,5.62,91.9,Rice
91.89,80.93,33.88,21.87,51.28,5.95,147.08,Cotton
34.65974847198909,76.8866756534482,64.86468953901154,30.05219537638978,70.86692897968396,7.081981844417516,237.96435153176597,Soybean
48.57,34.53,44.25,24.92,50.94,6.44,87.13,Sugarcane
101.16,39.3,12.98,31.06,75.53,6.89,54.14,Cotton
73.15,52.14,44.99,32.46,65.84,6.03,111.6,Millet
77.74,48.16,12.11,30.45,87.76,6.86,272.23,Sugarcane
105.05,79.29,43.61,28.47,82.43,7.3,164.31,Sugarcane
44.97,56.05,63.08,24.72,87.66,7.23,299.53,Rice
73.54,51.47,67.23,25.85,51.39,7.71,101.15,Soybean
113.68,10.13,31.3,33.64,60.01,6.68,278.34,Groundnut
92.12,81.32,34.43,22.16,51.19,6.49,147.49,Cotton
20.9,34.41,40.34,31.71,85.91,7.14,176.92,Wheat
113.40312892884906,82.0837911254779,54.0127955659366,33.949964737725054,62.32607813029069,6.151020990534186,275.8632153922811,Barley
98.14,51.74,34.37,20.82,62.52,6.38,51.55,Pulses
59.05,72.86,61.77,27.11,59.48,6.57,59.71,Millet
97.14,59.57,25.3,32.66,51.97,6.58,283.43,Wheat
38.72,25.53,40.74,33.01,69.34,6.15,167.59,Soybean
37.22,63.7,32.47,29.09,75.15,6.29,139.02,Maize
42.37,17.49,76.45,21.18,84.52,5.49,159.29,Maize
107.23,66.02,28.55,28.77,51.22,7.21,120.52,Millet
77.2,52.54,77.77,23.19,53.32,6.61,118.39,Barley
21.11,78.1,66.7,31.55,73.24,5.93,53.38,Rice
91.41,16.88,12.4,33.99,77.1,6.9,228.6,Pulses
46.46,19.46,33.14,32.47,59.89,6.51,194.03,Wheat
100.72,15.54,60.13,30.43,88.85,6.08,136.41,Soybean
23.59,77.09,16.52,34.2,60.91,5.6,205.96,Rice
79.03,17.91,28.38,27.42,84.74,6.12,225.61,Maize
42.167335906481284,17.07723834592024,76.34834408674764,21.006420353534775,84.8531191747812,5.457709357161076,159.39793730297978,Pulses
108.94,81.4,38.11,33.53,87.94,7.98,74.23,Sugarcane
70.32004287129524,17.862763420673065,20.32701611826164,21.398512910467232,51.17117960142838,6.046658771243964,125.60894412313478,Pulses
54.18,87.06,80.35,25.06,70.68,6.93,267.7,Maize
53.87878696773353,87.44696607229763,80.0844592431029,24.94866144635327,70.18773061259927,7.626575964745806,268.27044438795446,Wheat
98.93,50.92,67.47,29.26,69.68,6.89,145.44,Sugarcane
70.55027877027517,17.185846009065745,21.124760288382515,21.849324758555564,51.035716980410655,5.863216088566866,125.24856525239841,Cotton
22.31,41.32,67.41,27.01,53.69,6.28,295.26,Wheat
26.98,59.84,66.96,30.21,60.42,7.21,155.03,Maize
88.18,23.09,25.33,21.42,59.68,7.13,136.46,Sugarcane
46.505215526159745,52.26813496061897,13.697736421628003,25.073635053469577,65.93814373632028,6.511609346672832,184.05690506211295,Maize
45.32,55.59,63.3,24.45,88.42,7.74,299.58,Rice
97.29,41.04,29.23,28.63,66.49,6.31,136.34,Maize
46.18,19.48,33.2,32.01,59.66,6.8,194.18,Wheat
48.9,34.66,44.41,24.45,50.79,7.25,86.73,Sugarcane
34.72,77.3,64.93,31.05,71.47,7.43,238.48,Cotton
98.32,51.68,34.37,20.53,63.19,6.64,51.71,Pulses
87.39,50.36,45.95,25.42,54.25,5.68,121.32,Soybean
113.73,81.75,54.34,33.82,62.14,5.72,274.86,Soybean
70.45,89.48,46.74,20.64,83.7,6.99,98.96,Groundnut
30.38,40.5,56.32,22.28,79.22,6.52,275.1,Wheat
33.4,23.73,15.12,19.87,50.08,6.24,75.17,Pulses
33.17,24.06,15.35,20.59,50.02,6.18,75.35,Pulses
83.13,30.75,21.79,32.02,54.94,7.35,269.6,Sugarcane
70.46,89.16,47.03,21.19,83.89,6.97,98.6,Groundnut
19.87,72.44,30.0,27.19,52.69,6.81,245.99,Pulses
112.51,49.26,52.29,34.17,84.05,5.77,228.05,Groundnut
97.34,41.08,28.66,28.28,66.2,5.9,135.68,Maize
38.47,21.0,35.91,21.35,85.71,6.03,237.52,Wheat
29.12,35.86,19.75,22.89,85.08,7.02,124.27,Sugarcane
22.48,40.9,66.82,27.61,54.24,5.7,294.99,Wheat
97.04,59.93,24.59,31.99,52.39,6.47,282.56,Wheat
63.82,69.08,32.56,28.63,72.25,7.46,53.34,Barley
106.33,62.66,64.19,33.05,76.94,6.56,293.43,Barley
94.97,46.9,43.15,24.88,87.5,6.59,275.85,Maize
113.23,48.68,51.52,34.72,84.1,5.41,228.19,Groundnut
29.1,35.9,20.03,22.36,85.17,6.9,123.57,Sugarcane
95.5,47.88,63.46,28.61,84.97,6.38,145.21,Groundnut
86.61,50.03,46.17,25.62,54.4,6.2,120.83,Soybean
102.88,44.5,12.75,28.26,61.41,7.11,286.41,Maize
77.48,52.59,77.76,23.52,53.02,7.06,117.93,Barley
63.84,69.1,32.53,28.81,71.76,7.64,53.03,Barley
42.23,17.14,76.36,20.79,85.44,5.21,158.77,Maize
119.27,31.93,58.87,20.19,66.54,5.93,285.36,Maize
51.18,15.4,19.81,29.56,55.53,5.96,137.2,Maize
73.86,50.77,66.79,26.38,51.15,7.14,100.63,Soybean
115.68,85.32,37.15,21.35,63.52,7.5,92.34,Pulses
52.13187748787948,24.044295878642163,22.463778245234984,31.799484637961474,62.044966403853564,6.204738004463409,278.11011354618057,Cotton
94.99,48.14,63.4,29.39,85.39,6.7,144.91,Groundnut
55.44,58.16,71.9,28.57,54.51,7.3,120.06,Rice
90.46,18.04,63.49,21.37,89.03,6.9,246.84,Wheat
